,Unnamed: 0,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
153,153,data/1w_17-05-2019,5,256,975034095792896,19924674.08156556,959462688243200,24662961.60313526,1.5970115934287774,-23.78100390587366
154,154,data/1w_17-05-2019,5,512,1903316686476800,39234863.06974873,1867690067181568,47423880.67386949,1.871817735238789,-20.87178841318486
155,155,data/1w_17-05-2019,6,32,143422124023328,3146541.5137248687,140573402829728,3709423.337679477,1.9862494806844777,-17.888905056532057
156,156,data/1w_17-05-2019,6,64,292841921353664,6167327.909723491,286470149827904,7395659.238484843,2.175839953619495,-19.916750766969074
157,157,data/1w_17-05-2019,6,128,565495976687232,12199132.66518295,551126957574016,14137343.814601405,2.5409586815085876,-15.888106167991964
158,158,data/1w_17-05-2019,6,256,1126507627056128,23724234.50836225,1104791709992960,28268605.75186252,1.927720375930132,-19.154975229647487
159,159,data/1w_17-05-2019,6,512,2300530770670080,47245678.17185842,2228807638650368,57293274.60957816,3.1176775783277644,-21.266699572331515
160,160,data/1w_17-05-2019,7,32,163658582676896,3576372.454276839,158484825579744,4168706.19198163,3.161311195860912,-16.56241751321072
161,161,data/1w_17-05-2019,7,64,339651854891072,7140122.585006528,330424248032192,8428647.74052755,2.716783885028197,-18.04626097354103
162,162,data/1w_17-05-2019,7,128,645897412784512,13750935.628194775,633520235729408,16178016.639329767,1.9162759921494446,-17.65029723620064
163,163,data/1w_17-05-2019,7,256,1321039166648576,26821820.41768534,1289904823447040,32931134.084051635,2.356806973446714,-22.777401277125964
164,164,data/1w_17-05-2019,7,512,2591141055888384,54304576.68970789,2523080408005120,64318011.36907446,2.6266670326030983,-18.439393675016657
165,165,data/1w_17-05-2019,8,32,185932913451712,4096355.781784365,181651501051008,4770157.1847728975,2.3026651501461632,-16.448800809362947
166,166,data/1w_17-05-2019,8,64,363300769485376,7844958.227815539,353353018285056,9043080.660549754,2.7381585826011934,-15.272515135722243
167,167,data/1w_17-05-2019,8,128,732183576358400,15104155.963894868,714623047874560,18268032.154902987,2.3983778181940827,-20.947057211082047
168,168,data/1w_17-05-2019,8,256,1478931804017920,31137158.18873533,1437285172193280,36501460.93211426,2.8159940648713895,-17.22797793833223
169,169,data/1w_17-05-2019,8,512,2910275614219776,60513343.21704503,2827483979764224,71825768.36771588,2.844803909671897,-18.69410042359787
170,170,data/1w_17-05-2019,9,32,202919036254176,4457093.650802001,197835858796864,5160767.493246252,2.5050273996693053,-15.787728452096413
